Job_Title,"Total _Years_of _Professional_Experience",Total_Compensation
"Sales Analyst","2 - 4 years",245200
"IT Program Manager","21 - 30 years",245200
"Senior Scrum Master","8 - 10 years",245000
"User Experience (UX) Research","2 - 4 years",245000
"Director Of Market Research","11 - 20 years",245000
"Commercial Director","11 - 20 years",245000
"Engagement Strategist","8 - 10 years",245000
"Senior Developer","5-7 years",245000
"In-House Counsel","5-7 years",245000
"Director - Product","8 - 10 years",245000
"Principal Architect","21 - 30 years",245000
"Senior Director, Actuarial","8 - 10 years",245000
"Senior Marketing Specialist","11 - 20 years",244994
"Frontend Engineer","5-7 years",244100
"Graduate Student","2 - 4 years",244050
"Vp, Global HR  Operations And Technology","21 - 30 years",244000
"Senior Associate","21 - 30 years",244000
"Senior Payroll Specialist","11 - 20 years",244000
"Product Strategy And Marketing Manager","5-7 years",243800
"Administrative Librarian","21 - 30 years",243302
"Director Of Accounting","11 - 20 years",243000
"Program Administrator","21 - 30 years",243000
"Project Architect","11 - 20 years",243000
"Fundraising Consultant","11 - 20 years",243000
"HR  Generalist","2 - 4 years",242500
"Vice President  Finance","11 - 20 years",242300
"Quality Engineer","21 - 30 years",242200
"Client Service Representative","8 - 10 years",242089
Banker,"2 - 4 years",242060
"Security Architect","21 - 30 years",242000
"Ops Associate","2 - 4 years",242000
"Sales Rep","8 - 10 years",241000
Auditor,"31 - 40 years",241000
"Senior Systems Engineer II","11 - 20 years",241000
"Medical Social Worker","11 - 20 years",240846
"Account Supervisor","8 - 10 years",240500
"Operations Lead","8 - 10 years",240500
"Content Writer","2 - 4 years",240200
"Admin  Assistant","5-7 years",240151
"Director of Advanced Analytics & Statistics","11 - 20 years",240000
"Support Engineer","8 - 10 years",240000
"Vice President, Partnerships","21 - 30 years",240000
"Graphic Artist","11 - 20 years",240000
"Vice President  of   Engineering","11 - 20 years",240000
TAM,"21 - 30 years",240000
"Managing Director","8 - 10 years",240000
"Head Of People Ops","21 - 30 years",240000
"Influencer Marketing Manager","8 - 10 years",240000
"Senior Vice President Of Marketing","31 - 40 years",240000
"Supply Chain Assocaite Director","5-7 years",240000
"Grants Administrator","8 - 10 years",239962
"Team Leader","8 - 10 years",239800
"Assistant Director of HR","11 - 20 years",239650
"Senior Account Executive","5-7 years",239600
"Director of Application Development","21 - 30 years",239445
"Director Of Customer Service","11 - 20 years",239000
"Senior Software Application Engineer","5-7 years",239000
"People And Culture Manager","11 - 20 years",239000
"Associate Creative Director","5-7 years",239000
"Design Director","11 - 20 years",239000
"Editorial Director","21 - 30 years",239000
"Principal Site Reliability Developer","11 - 20 years",239000
"Director Of Policy","8 - 10 years",239000
"Laboratory Technician","11 - 20 years",238608
"Senior Mechanical Engineer","5-7 years",238500
"Library Supervisor","11 - 20 years",238000
"Senior Research Associate","11 - 20 years",238000
"Customer Support","11 - 20 years",238000
"Head Of Marketing","8 - 10 years",238000
"Account Manager","41 years or more",238000
"Operations Coordinator","8 - 10 years",237279
"Firm Administrator","11 - 20 years",237000
"Research Specialist","8 - 10 years",237000
"Chief Program Officer","11 - 20 years",237000
"Assistant Vice President/Claims Manager","11 - 20 years",237000
"Senior Product Designer","2 - 4 years",237000
"Senior Civil Engineer","11 - 20 years",237000
"Hardware Engineer","8 - 10 years",237000
"Engineering Director","11 - 20 years",237000
"Managing Editor","5-7 years",236831
"Legislative Analyst","8 - 10 years",236600
"Transportation Engineer","5-7 years",236540
"Operations Analyst","8 - 10 years",236470
"Power Trader","11 - 20 years",236000
"Project Director","8 - 10 years",236000
"Scientific Strategy Advisor","11 - 20 years",236000
"Senior Project Manager","31 - 40 years",235500
"Service Manager","8 - 10 years",235500
"Campaign Manager","11 - 20 years",235500
"Business Intelligence Developer","21 - 30 years",235500
"Senior Engineer","2 - 4 years",235260
"Manager, Product Management","11 - 20 years",235000
"Executive Officer","8 - 10 years",235000
"Director Of Business Development","8 - 10 years",235000
"Senior HR  Generalist","11 - 20 years",235000
"Principal Technical Program Manager","11 - 20 years",235000
"Director Of Technical Services","11 - 20 years",235000
"Senior Administrative Assistant","5-7 years",235000
"People Operations Manager","11 - 20 years",235000
"Executive Search Consultant","21 - 30 years",235000
"General Manager","5-7 years",234700
"Senior Reporter","5-7 years",234700
"Development Coordinator","2 - 4 years",234396
"Human Resource Manager","11 - 20 years",234280
"Group Product Manager","11 - 20 years",234000
Principal,"11 - 20 years",234000
"Operations Consultant","8 - 10 years",234000
"Manager, Software Dev & Eng","11 - 20 years",234000
"Avp & Actuary","11 - 20 years",234000
"Youth Services Librarian","8 - 10 years",233600
"Development Director","8 - 10 years",233600
"People Operations Manager","8 - 10 years",233208
"Process Manager","11 - 20 years",233200
"Senior Medical Writer","5-7 years",233000
"Research Librarian","11 - 20 years",233000
"Research And Development Scientist","2 - 4 years",232808
"Senior Vice President Of Finance","11 - 20 years",232500
"Content Specialist","5-7 years",232050
"Environmental Protection Specialist","11 - 20 years",232000
"Senior Project Engineer","21 - 30 years",232000
"Audit Senior Manager","11 - 20 years",232000
"Production Lead","5-7 years",232000
"Senior Product Owner","11 - 20 years",232000
"Senior Tax Accountant","8 - 10 years",231700
"Senior Manager, Bus Scheduling","31 - 40 years",231600
"Planning Manager","11 - 20 years",231511
"Solutions Consultant","11 - 20 years",231500
"Assistant Editor","5-7 years",231500
"Management Analyst","11 - 20 years",231500
"Non Technical Recruiter","8 - 10 years",231000
"System Analyst","11 - 20 years",231000
"Program Coordinator","21 - 30 years",231000
"Nurse Consultant","11 - 20 years",231000
"Senior Legal Editor","11 - 20 years",230700
Chemist,"5-7 years",230630
"Operations Research Analyst","11 - 20 years",230290
"Recruiting Coordinator","5-7 years",230250
"Postdoctoral Researcher","2 - 4 years",230242
Programmer,"5-7 years",230000
"Scientist II","8 - 10 years",230000
"Valuations Expert","11 - 20 years",230000
"Senior User Experience (UX) Designer","5-7 years",230000
"Managing Economist","8 - 10 years",230000
"Clinical Psychologist","2 - 4 years",230000
"Senior Ml Engineer","2 - 4 years",230000
"Senior Product Manager - Technical","8 - 10 years",230000
"Director of Learning & Development","11 - 20 years",230000
"Content Strategy","8 - 10 years",230000
"Consulting Vice President","5-7 years",230000
"Product Director","8 - 10 years",230000
"Senior Software Engineer, Devops","5-7 years",230000
"Senior Database Administrator","11 - 20 years",230000
"Junior Project Manager","8 - 10 years",229760
"Communications Coordinator","11 - 20 years",229432
"IT Architect","21 - 30 years",229000
"Structural Engineer","5-7 years",229000
"Front End Engineer","11 - 20 years",229000
"Director - It Strategy","11 - 20 years",229000
"Director Of Research Development","11 - 20 years",228640
"Contract Administrator","11 - 20 years",228250
Author,"21 - 30 years",228000
"Assistant Director","21 - 30 years",228000
"Deputy Director Of Accounting","21 - 30 years",228000
"HR Analyst","5-7 years",228000
"User Experience (UX) Engineer Manager","21 - 30 years",228000
"Senior Advisor","11 - 20 years",228000
"Media Buyer","11 - 20 years",228000
"Business Intelligence Analyst","5-7 years",227924
"Data Specialist","11 - 20 years",227808
Editor,"2 - 4 years",227600
"Operations Associate","2 - 4 years",227500
"Marketing Manager","21 - 30 years",227250
"Senior Architect","11 - 20 years",227000
"Manager, Marketing","11 - 20 years",227000
"Senior Manager Growth Marketing","11 - 20 years",227000
"Director Of Human Resources","31 - 40 years",226700
"Executive Director","31 - 40 years",226500
"Senior Graphic Designer","11 - 20 years",226500
"Structural Engineering Specialist","2 - 4 years",226200
"Office Administrator","8 - 10 years",226160
"Senior Communications Specialist","5-7 years",226000
"Compliance Officer","8 - 10 years",225600
"Solution Consultant","8 - 10 years",225500
"Test Engineer","2 - 4 years",225500
"Associate Manager","8 - 10 years",225300
"Revenue Agent","11 - 20 years",225161
"Senior Legal Counsel","21 - 30 years",225000
"Aws Solutions Architect","8 - 10 years",225000
"Director, Engineerig","11 - 20 years",225000
"Contract Partner","8 - 10 years",225000
"User Experience (UX) Designer","21 - 30 years",225000
"Director Of Product Management","8 - 10 years",225000
"Structural Biology Lead","5-7 years",225000
"Quality Assurance Engineering Lead","11 - 20 years",225000
Taxonomist,"21 - 30 years",225000
"Postdoctoral Fellow","8 - 10 years",225000
Solicitor,"5-7 years",225000
"Manager, Sales Engineering","21 - 30 years",225000
"Chief Risk Officer","11 - 20 years",225000
"Learning & Development Senior Manager","21 - 30 years",224700
"Social Media Specialist","5-7 years",224500
"Research Assistant Professor","5-7 years",224000
"Associate Registrar","11 - 20 years",224000
"Senior Taxonomist","21 - 30 years",224000
"Internal Auditor","2 - 4 years",223747
"Director Of Customer Success","5-7 years",223600
"Professor (Full)","21 - 30 years",223500
"Technical Staff","2 - 4 years",223500
"Senior Manager, Communications","8 - 10 years",223332
"Development Engineer","2 - 4 years",223180
"Aerospace Engineer","11 - 20 years",223000
"Claim Manager","21 - 30 years",223000
"Development Director","21 - 30 years",223000
"Best Boy","21 - 30 years",223000
"Learning Advisor","11 - 20 years",223000
"Internal Communications","5-7 years",223000
"EA (Executive Assistant)","11 - 20 years",223000
"Data Science","8 - 10 years",222500
"Talent Acquisition Specialist","2 - 4 years",222000
"Senior Network Engineer","21 - 30 years",222000
"Policy Specialist","11 - 20 years",222000
Auditor,"2 - 4 years",221800
"HR  Coordinator","2 - 4 years",221739
"Library Department Head","11 - 20 years",221500
"International Tax","11 - 20 years",221000
Reporter,"2 - 4 years",221000
"Service Sales Manager","11 - 20 years",220864
"Senior Content Strategist","8 - 10 years",220700
"Executive Assistant","1 year or less",220120
Writer/Editor,"8 - 10 years",220000
"Content Marketing Manager","8 - 10 years",220000
"In House Counsel","8 - 10 years",220000
"Vice President & Relationship Manager","11 - 20 years",220000
"Software Account Director","11 - 20 years",220000
"Senior Director, Workforce Management","21 - 30 years",220000
"Senior Manager","2 - 4 years",220000
"Head Data Scientist","11 - 20 years",220000
"Digital Marketing Manager","2 - 4 years",220000
"Executive Vice President, Communications","11 - 20 years",220000
"Director Of Global Seo","21 - 30 years",220000
"Director Tech","21 - 30 years",220000
"Commercial Banker","8 - 10 years",220000
"IT Project Manager","21 - 30 years",220000
"Staff Accountant","1 year or less",220000
"Associate Dean","21 - 30 years",220000
"Staff Technical Product Manager","11 - 20 years",219380
Manager,"41 years or more",219195
"Technical Project Manager","5-7 years",219000
"Speech-Language Pathologist","11 - 20 years",219000
"Director Of Marketing","8 - 10 years",219000
"Director Of Social","11 - 20 years",219000
"Scrum Master","31 - 40 years",219000
"Vice President Business Development","21 - 30 years",219000
"Project Engineer","21 - 30 years",218400
"Senior Systems Analyst","11 - 20 years",218250
"Emergency Veterinarian","11 - 20 years",218200
Underwriter,"8 - 10 years",218200
"English Teacher","2 - 4 years",218050
"LPN (Licensed Practical Nurse)","11 - 20 years",218000
"Tech Lead","21 - 30 years",218000
"Manager, Content Strategy","11 - 20 years",218000
"Director of People Operations","8 - 10 years",218000
"Manufacturing Engineer","21 - 30 years",218000
"Medical Science Liaison","11 - 20 years",218000
"Speech-Language Pathologist","2 - 4 years",218000
Assistant,"21 - 30 years",217776
"Environmental Scientist","11 - 20 years",217750
"Quality Assurance Engineer","11 - 20 years",217708
"Management Consultant","8 - 10 years",217500
"Director Of Communications","21 - 30 years",217200
"Senior Product Support Manager","11 - 20 years",217200
"Collection Development Librarian","11 - 20 years",217000
"Linguist III","5-7 years",217000
"Creative Services Manager","8 - 10 years",217000
Director,"2 - 4 years",217000
"Taxonomy Manager","11 - 20 years",217000
"Senior Staff Attorney","8 - 10 years",217000
"Software Development Engineer","11 - 20 years",217000
"Air Traffic Controller","2 - 4 years",217000
"Community Manager","11 - 20 years",216840
"Intake Officer","8 - 10 years",216000
"Embedded Software Engineer","5-7 years",216000
"Audit Manager","8 - 10 years",216000
"Head Of Product Management","11 - 20 years",216000
"Associate Director","2 - 4 years",216000
"Director Of Product Development","21 - 30 years",216000
"Director Of HR","8 - 10 years",216000
"Certified Financial Planner","5-7 years",216000
"Assistant District Attorney","11 - 20 years",216000
"Digital Marketing Specialist","2 - 4 years",215900
"Project Leader","5-7 years",215500
"High School English Teacher","11 - 20 years",215473
"Actuarial Analyst","5-7 years",215225
"Payroll Specialist","2 - 4 years",215130
"Contracts Manager","8 - 10 years",215000
"Associate Staff Firmware Engineer","21 - 30 years",215000
"Director of Corporate Strategy","5-7 years",215000
"Scientist I","8 - 10 years",215000
"Senior Software Developer","5-7 years",215000
"Project Manager II","11 - 20 years",215000
"Air Traffic Controller","21 - 30 years",215000
"enior Vice President.","11 - 20 years",215000
"iOS Engineer","11 - 20 years",215000
"Sr Ux Researcher","5-7 years",215000
"Vice President, Compliance Officer","5-7 years",215000
"Senior Manager Of Software Engineering","8 - 10 years",215000
"Vp Finance And Accounting","11 - 20 years",215000
"Associate Director Global Scientific Communications","5-7 years",215000
"Manager, Solutions Engineering","8 - 10 years",215000
"Director, Loyalty Marketing","11 - 20 years",215000
"Senior Director","5-7 years",215000
"Senior Customer Engineer","11 - 20 years",215000
"Geotechnical Manager","11 - 20 years",215000
"Camera Hardware Engineer","5-7 years",215000
"HR  Analyst","11 - 20 years",214960
"Senior Software Engineering Manager","5-7 years",214550
"Staff Writer","8 - 10 years",214400
"Property Manager","8 - 10 years",214300
"Vice President Product","11 - 20 years",214300
"Financial Planner","11 - 20 years",214000
"Senior Manager Of Business Development","11 - 20 years",214000
"System Administrator","11 - 20 years",214000
"Business Manager","5-7 years",214000
"Senior Manager, Marketing","11 - 20 years",214000
"Senior Quality Assurance Analyst","11 - 20 years",213600
"Client Service Manager","8 - 10 years",213500
"Enterprise Sales Rep","11 - 20 years",213500
"Production Editor","11 - 20 years",213250
"Legal Secretary","31 - 40 years",213190
"Director Of Finance And Administration","11 - 20 years",213103
"Manufacturing Engineer","2 - 4 years",213000
"Data Scientist II","1 year or less",213000
"Senior Human Resources Business Partner/Vp","41 years or more",213000
"Sales Executive","11 - 20 years",213000
"Senior Advisor, Communications","11 - 20 years",212919
"Research Assistant","11 - 20 years",212900
"Director of Business Development","5-7 years",212500
"Senior Program Analyst","11 - 20 years",212282
"Library Assistant","21 - 30 years",212232
Pharmacist,"2 - 4 years",212100
"Assistant Service Manager","11 - 20 years",212000
"Associate Director of Information Governance","21 - 30 years",212000
"Technical Project Manager","31 - 40 years",212000
"Senior It Program Manager","11 - 20 years",212000
"Senior Clinical Program Manager","11 - 20 years",212000
"Library Manager","11 - 20 years",211807
"Senior Frontend Engineer","11 - 20 years",211700
"Lead Technical Writer","11 - 20 years",211605
"Lead Corporate Counsel","11 - 20 years",211057
"Data Architect","8 - 10 years",211000
"Senior Designer","21 - 30 years",211000
"Senior Account Executive","11 - 20 years",210500
"Scrum Master","21 - 30 years",210400
"Pricing Specialist","11 - 20 years",210327
"Chief Development Officer","11 - 20 years",210000
"Services Manager","11 - 20 years",210000
"Senior R&D Engineer Manager","8 - 10 years",210000
"Senior Operations Manager","21 - 30 years",210000
"Solutions Engineer","11 - 20 years",210000
"Director of Cybersecurity","11 - 20 years",210000
"Enterprise Architect","11 - 20 years",210000
"Fund Manager","11 - 20 years",210000
"Director Property Tax","11 - 20 years",210000
"Commercial Real Estate Underwriter","11 - 20 years",210000
"Senior Benefits Manager","11 - 20 years",210000
"Senior Manager, Digital","11 - 20 years",210000
"Senior Proposal Manager","8 - 10 years",210000
"Enterprise Architect","21 - 30 years",210000
"Enterprise Risk Manager","21 - 30 years",210000
"Staff Assistant","11 - 20 years",210000
"Actuarial Consultant","21 - 30 years",210000
"Engineering Lead","21 - 30 years",210000
"Senior Manager, User Experience(UX)","31 - 40 years",210000
"Senior Scrum Master","21 - 30 years",210000
"Consultant II","2 - 4 years",210000
"Manager, Engineering Program","21 - 30 years",210000
"Senior Manager, Marketing And Business Analytics","11 - 20 years",210000
"Senior Recruiter","5-7 years",210000
"Law Librarian","11 - 20 years",209726
"Mental Health Therapist","11 - 20 years",209611
"Research Assistant","5-7 years",209500
"Speech Language Pathologist","1 year or less",209200
"Assistant Principal","8 - 10 years",209000
"Administrative Coordinator","8 - 10 years",209000
"Business Consultant","8 - 10 years",209000
"Foreign Service Officer","5-7 years",209000
"Payroll Manager","21 - 30 years",209000
"Instructional Designer","31 - 40 years",209000
"Physician (Infectious Diseases)","5-7 years",209000
"HR Generalist","11 - 20 years",208886
Pharmacist,"21 - 30 years",208840
"Corporate Counsel","5-7 years",208500
"Practice Director","21 - 30 years",208500
"Product Specialist","11 - 20 years",208412
"Director Of Content","8 - 10 years",208200
"Senior Data Analyst","2 - 4 years",208188
"Front End Web Developer","5-7 years",208000
"Senior Accounting Analyst","11 - 20 years",208000
"Manager Operations","11 - 20 years",208000
"Director Of Finance And Administration","21 - 30 years",208000
Underwriter,"5-7 years",208000
"Director of Client Operations","11 - 20 years",208000
"Vice President  of  Operations","11 - 20 years",208000
"Laboratory Manager","21 - 30 years",208000
"Application Developer","8 - 10 years",207780
Engineer,"2 - 4 years",207500
"Market Research Manager","5-7 years",207300
"Business Development Director","21 - 30 years",207000
"Test Engineer","11 - 20 years",207000
"Senior Software Engineer And Market Analysr","11 - 20 years",207000
"Senior Data Scientist","21 - 30 years",207000
"Senior Librarian","31 - 40 years",207000
"Internal Audit Director","11 - 20 years",206885
"Audit Manager","5-7 years",206200
"24 Frame Video Playback","8 - 10 years",206000
"Lab Manager","11 - 20 years",206000
"Forensic Scientist","11 - 20 years",206000
"Systems Engineer","8 - 10 years",206000
"Legal Counsel","11 - 20 years",206000
"Compensation Analyst","5-7 years",205900
Copywriter,"21 - 30 years",205640
"Staff Writer","5-7 years",205520
"Compliance Specialist","11 - 20 years",205500
"Senior BI (Business Intelligence) Analyst","11 - 20 years",205500
"Senior Chemist","11 - 20 years",205364
"Branch Manager","8 - 10 years",205330
"Management Consultant","2 - 4 years",205200
"Associate Editor","8 - 10 years",205200
Receptionist,"2 - 4 years",205060
"Purchasing Manager - Apparel","21 - 30 years",205000
"Region Vice President","11 - 20 years",205000
"Process Specialist","8 - 10 years",205000
"Senior Manager, Statistics","2 - 4 years",205000
"Associate Professor, Business Management","31 - 40 years",205000
"Chief Product Officer","21 - 30 years",205000
"Financial Planner","21 - 30 years",205000
Lawyer,"1 year or less",205000
Partner,"5-7 years",205000
"Senior Leasing Representative","11 - 20 years",205000
"Domain Architect","21 - 30 years",205000
"Restructuring Consultant","5-7 years",205000
"Director of Actuarial","11 - 20 years",205000
"Strategic Account Executive","11 - 20 years",205000
"Planning And Forecasting Lead","5-7 years",205000
"Senior Civil Project Manager","11 - 20 years",205000
"Principal Program Manager","11 - 20 years",205000
"Senior Credit Analyst","8 - 10 years",205000
"Product Counsel","2 - 4 years",205000
Shareholder,"11 - 20 years",205000
"Senior DevOps Engineer","5-7 years",205000
"Planning Team Lead","11 - 20 years",205000
"Social Media Manager","2 - 4 years",204800
"Managing Counsel","11 - 20 years",204700
"Policy Manager","5-7 years",204500
"Assistant General Counsel","8 - 10 years",204450
"Communication Specialist","11 - 20 years",204000
"Vice President  of  Customer Success","11 - 20 years",204000
"Sr. Director - Customer Success","21 - 30 years",204000
"Managing Editor","31 - 40 years",204000
"Senior Auditor","21 - 30 years",204000
"Sr. Director Of Compliance","21 - 30 years",204000
Lecturer,"2 - 4 years",204000
Sales,"8 - 10 years",204000
"Vice President  of  Product","11 - 20 years",204000
"Project Lead","5-7 years",203500
"Research Analyst","1 year or less",203500
Pastor,"5-7 years",203359
Administration,"21 - 30 years",203285
"Learning Specialist","11 - 20 years",203000
"Facility Manager","11 - 20 years",203000
"Senior Manager, Crm Marketing","8 - 10 years",203000
"User Experience (UX) Researcher","8 - 10 years",203000
"Director Of Customer Marketing","11 - 20 years",203000
"Business Intelligence Engineer","11 - 20 years",203000
"Genetic Counselor","8 - 10 years",203000
Engineer,"21 - 30 years",202600
"Staff Site Reliability Engineer","21 - 30 years",202500
Merchandiser,"11 - 20 years",202200
"Director Of Strategic Partnerships","11 - 20 years",202000
"Vice President Of People And Culture","11 - 20 years",202000
"Research Fellow","8 - 10 years",202000
Assistant,"5-7 years",202000
Controller,"31 - 40 years",202000
Diplomat,"5-7 years",202000
"Physical Therapist","8 - 10 years",202000
"Senior Digital Marketing Manager","11 - 20 years",202000
"Continuous Improvement Manager","5-7 years",202000
"Senior SRE (Site Reliability Engineer)","8 - 10 years",202000
"Of Counsel","11 - 20 years",202000
"Senior Project Coordinator","8 - 10 years",201910
"Graphic Designer","2 - 4 years",201900
Historian,"8 - 10 years",201818
"Materials Engineer","5-7 years",201433
"Marketing Assistant","2 - 4 years",201400
"Regulatory Affairs Specialist","11 - 20 years",201350
"Associate Director Of Admissions","11 - 20 years",201000
"Regional Director","11 - 20 years",201000
"Materials Manager","21 - 30 years",201000
"Academic Librarian","8 - 10 years",201000
"Civil Engineer","8 - 10 years",201000
"Senior Advisor","8 - 10 years",201000
"Director of Cloud Solutions","11 - 20 years",201000
"Director of Voice Of The Customer","31 - 40 years",201000
"Formulation Senior Scientist","11 - 20 years",201000
"Platform Engineer","21 - 30 years",201000
"School Psychologist","21 - 30 years",201000
"Instructional Technologist","11 - 20 years",201000
"Relationship Manager","11 - 20 years",200750
"Manager, Applications Engineering","21 - 30 years",200601
"Budget Analyst","5-7 years",200600
"Software Developer III","21 - 30 years",200500
"Contracts Specialist","11 - 20 years",200500
"Director Of Administrative Services","21 - 30 years",200000
"Change Management Director","11 - 20 years",200000
"Data Science Manager","5-7 years",200000
"Job Title","21 - 30 years",200000
"Controls Engineer","21 - 30 years",200000
"Security Pre-Sales","21 - 30 years",200000
"Environmental Specialist","11 - 20 years",200000
"Nurse Practitioner","2 - 4 years",200000
"Principle Software Engineer","11 - 20 years",200000
"Director of Compensation & Benefits","21 - 30 years",200000
"Clinical Laboratory Scientist","8 - 10 years",200000
"Information Security Analyst","11 - 20 years",200000
"Senior Manager Devops","11 - 20 years",200000
"Director Of Product Design & Development","11 - 20 years",200000
"Hardware Design Engineer","2 - 4 years",200000
"Renewals Manager","21 - 30 years",200000
"Enterprise Customer Success Manager","11 - 20 years",200000
"HR  Consultant","11 - 20 years",200000
"Site Reliability Engineer Sre","21 - 30 years",200000
"Senior Clinical Laboratory Scientist","31 - 40 years",200000
"Director Of Business Development","21 - 30 years",200000
"Video Producer","11 - 20 years",200000
"Manager & Actuary","11 - 20 years",200000
"Executive Administrator","21 - 30 years",200000
"Underwriting Officer","11 - 20 years",200000
"Sr Director, HR  Business Partner","21 - 30 years",200000
"Assistant Store Manager","5-7 years",200000
"Family Physician","5-7 years",200000
Realtor,"8 - 10 years",200000
"Director Of Social Media","11 - 20 years",200000
"IT Infrastructure Manager","11 - 20 years",200000
"Tech Lead","8 - 10 years",200000
"Marketing Analytics Manager","11 - 20 years",200000
"Associate Director Project Management","11 - 20 years",200000
"Director Of Software","5-7 years",200000
"Senior Director Data Management","11 - 20 years",200000
"Senior SDE (Software Development Engineer)","8 - 10 years",200000
Professor,"8 - 10 years",200000
"Procurement Manager","11 - 20 years",200000
"Senior Technical Consultant","11 - 20 years",200000
"English Teacher","11 - 20 years",199500
"Clinical Research Coordinator","11 - 20 years",199500
"IT Specialist","21 - 30 years",199350
"Director Of Development","31 - 40 years",199150
"Senior Systems Engineer","5-7 years",199100
"Assistant Vice President, Portfolio Manager","31 - 40 years",199000
"Content Designer","8 - 10 years",199000
"Associate Director of Science & Medicine","21 - 30 years",199000
"Tech Staff 4 - Architect","21 - 30 years",199000
Paralegal,"1 year or less",199000
"Financial Reporting Manager","11 - 20 years",199000
"HR  Administrator","11 - 20 years",198850
"Office Manager","41 years or more",198640
"Library Manager","21 - 30 years",198500
"Project Administrator","21 - 30 years",198200
"Tax Manager","8 - 10 years",198000
"Silicon Validation Engineer","8 - 10 years",198000
"Systems Librarian","11 - 20 years",198000
"Web Developer","2 - 4 years",198000
Developer,"8 - 10 years",198000
"Senior Business Process Manager","31 - 40 years",198000
"Director Of Project Management","21 - 30 years",198000
"Senior Research Associate II","11 - 20 years",198000
"Senior Embedded Systems Engineer","2 - 4 years",198000
Executive,"11 - 20 years",197500
"Embedded Firmware Engineer","31 - 40 years",197500
"Math Teacher","31 - 40 years",197000
"Director Business And Legal Affairs","8 - 10 years",197000
"Technical Underwriter","11 - 20 years",197000
"Engineering Manager","2 - 4 years",197000
"Head Of Digital Strategy","21 - 30 years",197000
Biostatistician,"5-7 years",197000
"Assistant Manager","2 - 4 years",196703
"Engineer III","11 - 20 years",196600
"Senior Leadership Development Consultant","11 - 20 years",196500
"Senior Business Analyst","2 - 4 years",196429
"Technical Recruiter","11 - 20 years",196400
"Event Manager","8 - 10 years",196200
"Senior Business Analyst","31 - 40 years",196127
"Vice President","31 - 40 years",196000
"Assistant Librarian","8 - 10 years",196000
"Assistant Director Of Finance","8 - 10 years",196000
"College Instructor","21 - 30 years",196000
"Director, Quality Assurance R&D","21 - 30 years",196000
Epidemiologist,"2 - 4 years",195950
"Medical Librarian","11 - 20 years",195850
"Enterprise Security Engineer","21 - 30 years",195800
"Library Assistant","5-7 years",195793
"Senior Data Manager","8 - 10 years",195750
"Pharmacy Director","11 - 20 years",195650
Administrator,"2 - 4 years",195500
"Public Defender","2 - 4 years",195425
"Senior Director, Video Streaming","11 - 20 years",195000
